Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,Is_Global,Popularity
Back in Action,Yes,313000000,114.0,164700000,2025 H1,5.1,56,1,1
Damsel,Yes,263700000,110.0,143800000,2024 H1,8.6,7,1,1
Carry-On,Yes,274500000,120.0,137300000,2024 H2,6.5,181168,1,1
The Union,Yes,238200000,109.0,131100000,2024 H2,7.2,18,1,1
Lift,Yes,230800000,107.0,129400000,2024 H1,6.2,450,1,1
Rebel Ridge,Yes,283700000,132.0,129000000,2024 H2,6.8,97133,1,1
Leave the World Behind,Yes,286300000,142.0,121000000,2023 H2,7.7,2396,1,1
Heart of Stone,Yes,228400000,125.0,109600000,2023 H2,4.6,267,1,1
Beverly Hills Cop: Axel F,Yes,190900000,118.0,97100000,2024 H2,6.4,84519,1,1
Leo,Yes,171200000,107.0,96000000,2023 H2,6.0,274,1,1
The Life List,Yes,198900000,125.0,95500000,2025 H1,6.8,34826,1,1
Exterritorial,Yes,159000000,109.0,87500000,2025 H1,5.8,16430,1,1
Havoc,Yes,154900000,107.0,86900000,2025 H1,5.4,21632,1,1
Nowhere,Yes,156600000,109.0,86200000,2023 H2,5.6,229,1,1
The Out-Laws,Yes,135500000,97.0,83800000,2023 H2,5.4,40458,1,1
Our Little Secret,Yes,136800000,101.0,81300000,2024 H2,7.6,8,1,1
The Super Mario Bros. Movie,No,123100000,92.0,80300000,2024 H1,7.0,277285,0,1
Mother of the Bride,Yes,116500000,90.0,77700000,2024 H1,7.0,29,1,1
Atlas,Yes,154200000,120.0,77100000,2024 H1,6.6,42,1,1
Sing: Thriller,Yes,15400000,12.0,77000000,2024 H2,6.6,3375,1,1
The Secret Life of Pets 2,No,106800000,86.0,74500000,2025 H1,6.8,14,0,1
A Family Affair,Yes,140900000,114.0,74200000,2024 H2,7.0,9,1,1
The Electric State,Yes,158200000,128.0,74200000,2025 H1,6.4,13,1,1
Hidden Strike,No,125900000,103.0,73300000,2023 H2,5.4,21311,0,1
Reptile,Yes,165600000,136.0,73100000,2023 H2,6.8,105937,1,1
Minions,No,110200000,91.0,72700000,2024 H1,7.0,72,0,1
Uglies,Yes,122600000,102.0,72100000,2024 H2,5.3,22,1,1
Irish Wish,Yes,113000000,94.0,72100000,2024 H1,5.2,22360,1,1
Counterattack,Yes,101000000,85.0,71300000,2025 H1,8.1,12,1,1
Ad Vitam,Yes,114000000,98.0,69800000,2025 H1,6.4,1940,1,1
Despicable Me 4,No,109400000,94.0,69800000,2025 H1,6.9,14,0,1
Don't Move,No,106400000,92.0,69400000,2024 H2,9.0,13,0,1
The Killer,Yes,135600000,120.0,67800000,2023 H2,7.4,11,1,1
The Secret Life of Pets,No,95600000,87.0,65900000,2025 H1,6.5,230761,0,1
The Boss Baby,No,103800000,98.0,63600000,2024 H1,6.9,64,0,1
Family Switch,Yes,109400000,106.0,61900000,2023 H2,5.7,31730,1,1
Despicable Me 3,No,92400000,90.0,61600000,2024 H1,6.3,173963,0,1
Trolls Band Together,No,93100000,92.0,60700000,2024 H2,6.0,19104,0,1
You Are So Not Invited to My Bat Mitzvah,Yes,105100000,104.0,60600000,2023 H2,5.9,27160,1,1
That Christmas,Yes,96200000,96.0,60100000,2024 H2,6.8,17409,1,1
Kinda Pregnant,Yes,98100000,100.0,58900000,2025 H1,4.9,17025,1,1
Nonnas,Yes,109500000,114.0,57600000,2025 H1,7.7,27,1,1
Woody Woodpecker Goes to Camp,Yes,95600000,100.0,57400000,2024 H1,4.5,2761,1,1
iHostage,Yes,97600000,102.0,57400000,2025 H1,6.5,16,1,1
Shrek,No,85300000,90.0,56900000,2024 H1,7.0,75,0,1
The Deliverance,Yes,107000000,113.0,56800000,2024 H2,9.4,5,1,1
Saving Bikini Bottom: The Sandy Cheeks Movie,Yes,80600000,87.0,55600000,2024 H2,3.7,4250,1,1
La Dolce Villa,Yes,91500000,99.0,55500000,2025 H1,6.0,11482,1,1
