Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
Back in Action,Yes,313000000,114.0,164700000,2025 H1,7.0,10,"Adventure,Comedy,Drama",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Damsel,Yes,263700000,110.0,143800000,2024 H1,8.6,7,"Comedy,Horror,Mystery",1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carry-On,Yes,274500000,120.0,137300000,2024 H2,6.5,181168,"Action,Crime,Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Union,Yes,238200000,109.0,131100000,2024 H2,7.4,31,"Action,Drama,Short",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Lift,Yes,230800000,107.0,129400000,2024 H1,6.2,450,"Crime,Drama",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rebel Ridge,Yes,283700000,132.0,129000000,2024 H2,6.8,97133,"Action,Crime,Drama",1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Leave the World Behind,Yes,286300000,142.0,121000000,2023 H2,6.4,234910,"Drama,Mystery,Thriller",1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Heart of Stone,Yes,228400000,125.0,109600000,2023 H2,4.6,267,"Crime,Drama,Mystery",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Beverly Hills Cop: Axel F,Yes,190900000,118.0,97100000,2024 H2,6.4,84519,"Action,Comedy,Crime",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Leo,Yes,171200000,107.0,96000000,2023 H2,6.0,274,"Drama,Thriller",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Life List,Yes,198900000,125.0,95500000,2025 H1,6.8,34826,"Comedy,Drama,Romance",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Exterritorial,Yes,159000000,109.0,87500000,2025 H1,5.8,16430,"Action,Mystery,Thriller",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Havoc,Yes,154900000,107.0,86900000,2025 H1,5.4,21632,"Crime,Drama",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nowhere,Yes,156600000,109.0,86200000,2023 H2,5.6,229,"Comedy,Drama",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Out-Laws,Yes,135500000,97.0,83800000,2023 H2,5.4,40458,"Action,Comedy,Crime",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Our Little Secret,Yes,136800000,101.0,81300000,2024 H2,7.6,11,"Adult,Drama",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Super Mario Bros. Movie,No,123100000,92.0,80300000,2024 H1,7.0,277285,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mother of the Bride,Yes,116500000,90.0,77700000,2024 H1,4.9,9,Reality-TV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlas,Yes,154200000,120.0,77100000,2024 H1,6.6,42,"Animation,History,Short",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Sing: Thriller,Yes,15400000,12.0,77000000,2024 H2,6.6,3375,"Animation,Comedy,Family",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Secret Life of Pets 2,No,106800000,86.0,74500000,2025 H1,6.8,14,Talk-Show,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Electric State,Yes,158200000,128.0,74200000,2025 H1,6.4,13,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Family Affair,Yes,140900000,114.0,74200000,2024 H2,7.0,9,Drama,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hidden Strike,No,125900000,103.0,73300000,2023 H2,5.4,21311,"Action,Adventure,Comedy",0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Reptile,Yes,165600000,136.0,73100000,2023 H2,6.8,105937,"Crime,Drama,Mystery",1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Minions,No,110200000,91.0,72700000,2024 H1,7.0,72,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uglies,Yes,122600000,102.0,72100000,2024 H2,4.7,35120,"Action,Adventure,Drama",1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Irish Wish,Yes,113000000,94.0,72100000,2024 H1,5.2,22360,"Comedy,Fantasy,Romance",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
