Title,Global,Hours_Viewed,Runtime,Views,Time_Period
Bad Influence,Yes,78600000,1:47,44100000,2025 H1
Squad 36,Yes,61100000,2:05,29300000,2025 H1
Inside Man: Most Wanted,No,42800000,1:46,24200000,2025 H1
Red Notice,Yes,46600000,1:58,23700000,2025 H1
Shrek the Third,No,36600000,1:35,23100000,2025 H1
Fear Street: Prom Queen,Yes,34400000,1:30,22900000,2025 H1
Aftermath (2024),No,29200000,1:35,18400000,2025 H1
The Dad Quest,Yes,24200000,1:24,17300000,2025 H1
Wallace & Gromit: Vengeance Most Fowl,Yes,23700000,1:22,17300000,2025 H1
Transformers: Rise of the Beasts,No,36400000,2:07,17200000,2025 H1
Trainwreck: The Astroworld Tragedy,Yes,22500000,1:21,16700000,2025 H1
Lucy (2014),No,24500000,1:29,16500000,2025 H1
Smurfs: The Lost Village,No,24600000,1:30,16400000,2025 H1
Love Forever,Yes,24900000,1:36,15600000,2025 H1
Just Go With It,No,27400000,1:57,14100000,2025 H1
Karol G: Tomorrow was Beautiful,Yes,23600000,1:49,13000000,2025 H1
Oklahoma City Bombing: American Terror,Yes,17800000,1:25,12600000,2025 H1
Sniper: Assassin's End,No,19500000,1:35,12300000,2025 H1
Mowgli: Legend of the Jungle,No,21400000,1:45,12200000,2025 H1
Madagascar (2005),No,17100000,1:26,11900000,2025 H1
Family Pack,Yes,18400000,1:35,11600000,2025 H1
Murder Mystery,Yes,18200000,1:38,11100000,2025 H1
To All the Boys: P.S. I Still Love You,Yes,18500000,1:42,10900000,2025 H1
Barnyard,No,16400000,1:30,10900000,2025 H1
Time Cut,Yes,16400000,1:32,10700000,2025 H1
A Simple Favor,No,20600000,1:57,10600000,2025 H1
Bloodshot (2020),No,19300000,1:49,10600000,2025 H1
Chicken Run: Dawn of the Nugget,Yes,17800000,1:42,10500000,2025 H1
The Two Popes,Yes,21600000,2:06,10300000,2025 H1
Infinite Storm,No,16800000,1:38,10300000,2025 H1
Triple Frontier,Yes,21400000,2:06,10200000,2025 H1
Officer Black Belt,Yes,17800000,1:49,9800000,2025 H1
Kung Fu Panda 3,No,15400000,1:35,9700000,2025 H1
Trainwreck: Mayor of Mayhem,Yes,8100000,0:50,9700000,2025 H1
The Last Witch Hunter,No,17200000,1:47,9600000,2025 H1
Sisu (2022),No,14600000,1:31,9600000,2025 H1
6 Underground,Yes,20500000,2:09,9500000,2025 H1
Jumanji: Welcome to the Jungle,No,18900000,1:59,9500000,2025 H1
The Fate of the Furious,No,21400000,2:16,9400000,2025 H1
John Wick,No,15300000,1:41,9100000,2025 H1
Daaku Maharaaj,No,20900000,2:23,8800000,2025 H1
Non-Stop (2014),No,15200000,1:47,8500000,2025 H1
Now You See Me 2,No,18000000,2:09,8400000,2025 H1
My Name Is Vendetta,Yes,12200000,1:32,8000000,2025 H1
Scarface,No,22300000,2:50,7900000,2025 H1
Jurassic World: Fallen Kingdom,No,16900000,2:08,7900000,2025 H1
GTMAX,Yes,13000000,1:40,7800000,2025 H1
Central Intelligence,No,13800000,1:48,7700000,2025 H1
The Wrong Missy,Yes,11500000,1:30,7700000,2025 H1
The Truman Show,No,12800000,1:43,7500000,2025 H1
The Weekend Away,Yes,10900000,1:31,7200000,2025 H1
Ready or Not (2019),No,11400000,1:37,7100000,2025 H1
The Hard Way (2019),Yes,11000000,1:34,7000000,2025 H1
Beast (English) (2022),No,10200000,1:33,6600000,2025 H1
